Reference,datefrom,dateuntil,mov_type
54217882M-109,2025-03-19 11:04:31+00:00,2025-03-19 11:04:40+00:00,walking
54217882M-109,2025-03-19 11:04:50+00:00,2025-03-19 11:04:58+00:00,walking
54217882M-109,2025-03-19 11:05:02+00:00,2025-03-19 11:05:07+00:00,not_walking
54217882M-109,2025-03-19 11:05:35+00:00,2025-03-19 11:05:42+00:00,walking
54217882M-109,2025-03-19 11:05:46+00:00,2025-03-19 11:05:53+00:00,walking
54217882M-109,2025-03-19 11:05:54+00:00,2025-03-19 11:06:03+00:00,walking
54217882M-109,2025-03-19 11:06:04+00:00,2025-03-19 11:06:10+00:00,walking
54217882M-109,2025-03-19 11:06:24+00:00,2025-03-19 11:06:29+00:00,not_walking
54217882M-109,2025-03-19 11:06:49+00:00,2025-03-19 11:06:54+00:00,not_walking
54217882M-109,2025-03-19 11:06:59+00:00,2025-03-19 11:07:04+00:00,not_walking
54217882M-109,2025-03-19 11:07:09+00:00,2025-03-19 11:07:18+00:00,walking
54217882M-109,2025-03-19 11:08:09+00:00,2025-03-19 11:08:37+00:00,not_walking
54217882M-109,2025-03-19 11:09:03+00:00,2025-03-19 11:09:10+00:00,not_walking
54217882M-109,2025-03-19 11:09:40+00:00,2025-03-19 11:09:45+00:00,not_walking
54217882M-109,2025-03-19 11:10:10+00:00,2025-03-19 11:10:18+00:00,walking
54217882M-109,2025-03-19 11:10:27+00:00,2025-03-19 11:10:40+00:00,walking
54217882M-109,2025-03-19 11:10:43+00:00,2025-03-19 11:10:49+00:00,walking
54217882M-109,2025-03-19 11:10:54+00:00,2025-03-19 11:11:03+00:00,not_walking
54217882M-109,2025-03-19 11:11:14+00:00,2025-03-19 11:11:20+00:00,walking
54217882M-109,2025-03-19 11:11:57+00:00,2025-03-19 11:12:02+00:00,not_walking
54217882M-109,2025-03-19 11:12:14+00:00,2025-03-19 11:12:19+00:00,walking
54217882M-109,2025-03-19 11:12:19+00:00,2025-03-19 11:12:25+00:00,not_walking
54217882M-109,2025-03-19 11:12:37+00:00,2025-03-19 11:12:43+00:00,walking
54217882M-109,2025-03-19 11:12:58+00:00,2025-03-19 11:13:03+00:00,not_walking
54217882M-109,2025-03-19 11:13:44+00:00,2025-03-19 11:13:50+00:00,walking
54217882M-109,2025-03-19 11:14:06+00:00,2025-03-19 11:14:11+00:00,walking
54217882M-109,2025-03-19 11:14:38+00:00,2025-03-19 11:14:43+00:00,not_walking
54217882M-109,2025-03-19 11:14:58+00:00,2025-03-19 11:15:05+00:00,not_walking
54217882M-109,2025-03-19 11:16:08+00:00,2025-03-19 11:16:14+00:00,walking
54217882M-109,2025-03-19 11:18:37+00:00,2025-03-19 11:18:46+00:00,walking
54217882M-109,2025-03-19 11:18:53+00:00,2025-03-19 11:18:58+00:00,walking
54217882M-109,2025-03-19 11:20:18+00:00,2025-03-19 11:20:25+00:00,walking
54217882M-109,2025-03-19 11:21:09+00:00,2025-03-19 11:21:15+00:00,walking
54217882M-109,2025-03-19 11:21:16+00:00,2025-03-19 11:21:21+00:00,not_walking
54217882M-109,2025-03-19 11:21:49+00:00,2025-03-19 11:21:55+00:00,not_walking
54217882M-109,2025-03-19 11:21:59+00:00,2025-03-19 11:22:06+00:00,walking
54217882M-109,2025-03-19 11:22:10+00:00,2025-03-19 11:22:18+00:00,not_walking
54217882M-109,2025-03-19 11:22:19+00:00,2025-03-19 11:22:25+00:00,walking
54217882M-109,2025-03-19 11:23:00+00:00,2025-03-19 11:23:06+00:00,walking
54217882M-109,2025-03-19 11:23:58+00:00,2025-03-19 11:24:04+00:00,walking
54217882M-109,2025-03-19 11:24:12+00:00,2025-03-19 11:24:17+00:00,walking
54217882M-109,2025-03-19 11:25:04+00:00,2025-03-19 11:25:14+00:00,not_walking
54217882M-109,2025-03-19 11:25:44+00:00,2025-03-19 11:25:50+00:00,walking
54217882M-109,2025-03-19 11:26:24+00:00,2025-03-19 11:26:35+00:00,walking
54217882M-109,2025-03-19 11:27:13+00:00,2025-03-19 11:27:18+00:00,not_walking
54217882M-109,2025-03-19 11:27:36+00:00,2025-03-19 11:27:43+00:00,not_walking
54217882M-109,2025-03-19 11:28:10+00:00,2025-03-19 11:28:26+00:00,not_walking
54217882M-109,2025-03-19 11:29:18+00:00,2025-03-19 11:29:26+00:00,walking
54217882M-109,2025-03-19 11:29:51+00:00,2025-03-19 11:29:56+00:00,walking
54217882M-109,2025-03-19 11:30:04+00:00,2025-03-19 11:30:13+00:00,walking
54217882M-109,2025-03-19 11:30:29+00:00,2025-03-19 11:30:36+00:00,walking
54217882M-109,2025-03-19 11:30:53+00:00,2025-03-19 11:31:01+00:00,walking
54217882M-109,2025-03-19 11:32:26+00:00,2025-03-19 11:32:32+00:00,walking
54217882M-109,2025-03-19 11:33:09+00:00,2025-03-19 11:33:31+00:00,walking
54217882M-109,2025-03-19 11:34:23+00:00,2025-03-19 11:34:29+00:00,walking
54217882M-109,2025-03-19 11:34:32+00:00,2025-03-19 11:34:40+00:00,not_walking
54217882M-109,2025-03-19 11:34:43+00:00,2025-03-19 11:34:48+00:00,not_walking
54217882M-109,2025-03-19 11:34:51+00:00,2025-03-19 11:34:56+00:00,walking
54217882M-109,2025-03-19 11:35:08+00:00,2025-03-19 11:35:26+00:00,not_walking
54217882M-109,2025-03-19 11:35:50+00:00,2025-03-19 11:35:59+00:00,not_walking
54217882M-109,2025-03-19 11:36:13+00:00,2025-03-19 11:36:18+00:00,not_walking
54217882M-109,2025-03-19 11:36:24+00:00,2025-03-19 11:36:30+00:00,walking
54217882M-109,2025-03-19 11:36:30+00:00,2025-03-19 11:36:38+00:00,not_walking
54217882M-109,2025-03-19 11:36:57+00:00,2025-03-19 11:37:04+00:00,not_walking
54217882M-109,2025-03-19 11:37:32+00:00,2025-03-19 11:37:37+00:00,not_walking
54217882M-109,2025-03-19 11:38:04+00:00,2025-03-19 11:38:09+00:00,walking
54217882M-109,2025-03-19 11:38:25+00:00,2025-03-19 11:38:36+00:00,not_walking
54217882M-109,2025-03-19 11:39:09+00:00,2025-03-19 11:39:14+00:00,not_walking
54217882M-109,2025-03-19 11:40:02+00:00,2025-03-19 11:40:08+00:00,not_walking
54217882M-109,2025-03-19 11:40:08+00:00,2025-03-19 11:40:17+00:00,walking
54217882M-109,2025-03-19 11:40:54+00:00,2025-03-19 11:41:02+00:00,walking
54217882M-109,2025-03-19 11:41:43+00:00,2025-03-19 11:41:50+00:00,not_walking
54217882M-109,2025-03-19 11:41:50+00:00,2025-03-19 11:42:00+00:00,walking
54217882M-109,2025-03-19 11:42:04+00:00,2025-03-19 11:42:10+00:00,walking
54217882M-109,2025-03-19 11:42:29+00:00,2025-03-19 11:42:34+00:00,walking
54217882M-109,2025-03-19 11:43:08+00:00,2025-03-19 11:43:13+00:00,walking
54217882M-109,2025-03-19 11:43:38+00:00,2025-03-19 11:43:44+00:00,not_walking
54217882M-109,2025-03-19 11:43:56+00:00,2025-03-19 11:44:07+00:00,walking
54217882M-109,2025-03-19 11:44:15+00:00,2025-03-19 11:44:25+00:00,walking
54217882M-109,2025-03-19 11:44:33+00:00,2025-03-19 11:44:38+00:00,walking
54217882M-109,2025-03-19 11:44:45+00:00,2025-03-19 11:44:50+00:00,walking
54217882M-109,2025-03-19 11:45:28+00:00,2025-03-19 11:45:33+00:00,walking
54217882M-109,2025-03-19 11:45:50+00:00,2025-03-19 11:45:55+00:00,walking
54217882M-109,2025-03-19 11:46:10+00:00,2025-03-19 11:46:16+00:00,not_walking
54217882M-109,2025-03-19 11:46:22+00:00,2025-03-19 11:46:27+00:00,not_walking
54217882M-109,2025-03-19 11:46:39+00:00,2025-03-19 11:46:52+00:00,not_walking
54217882M-109,2025-03-19 11:47:04+00:00,2025-03-19 11:47:10+00:00,not_walking
54217882M-109,2025-03-19 11:47:12+00:00,2025-03-19 11:47:17+00:00,not_walking
54217882M-109,2025-03-19 11:47:37+00:00,2025-03-19 11:47:42+00:00,not_walking
54217882M-109,2025-03-19 11:48:07+00:00,2025-03-19 11:48:12+00:00,not_walking
54217882M-109,2025-03-19 11:48:24+00:00,2025-03-19 11:48:29+00:00,walking
54217882M-109,2025-03-19 11:49:05+00:00,2025-03-19 11:49:10+00:00,not_walking
54217882M-109,2025-03-19 11:49:11+00:00,2025-03-19 11:49:17+00:00,walking
54217882M-109,2025-03-19 11:49:23+00:00,2025-03-19 11:49:28+00:00,not_walking
77370299R-115,2024-11-04 06:55:00+00:00,2024-11-04 06:55:27+00:00,walking
77370299R-115,2024-11-04 06:58:46+00:00,2024-11-04 06:58:51+00:00,not_walking
77370299R-115,2024-11-04 07:00:01+00:00,2024-11-04 07:00:14+00:00,walking
77370299R-115,2024-11-04 07:00:20+00:00,2024-11-04 07:00:25+00:00,walking
77370299R-115,2024-11-04 07:00:33+00:00,2024-11-04 07:00:46+00:00,walking
