Reference,priority,review_block,review_from_local,review_until_local,review_from_utc,review_until_utc,label_from_local,label_until_local,label_from_utc,label_until_utc,mov_type,label_quality,review_notes,offset_minutes,right_records,left_records,total_records
JOM250427-105,10,1,2025-04-27 08:00:00,2025-04-27 08:10:00,2025-04-27 06:00:00+00:00,2025-04-27 06:10:00+00:00,,,,,,,,-120,4499010,4897566,9396576
JOM250427-105,10,2,2025-04-27 08:10:00,2025-04-27 08:20:00,2025-04-27 06:10:00+00:00,2025-04-27 06:20:00+00:00,,,,,,,,-120,4499010,4897566,9396576
JOM250427-105,10,3,2025-04-27 08:20:00,2025-04-27 08:30:00,2025-04-27 06:20:00+00:00,2025-04-27 06:30:00+00:00,,,,,,,,-120,4499010,4897566,9396576
JOM250427-105,10,4,2025-04-27 08:30:00,2025-04-27 08:40:00,2025-04-27 06:30:00+00:00,2025-04-27 06:40:00+00:00,,,,,,,,-120,4499010,4897566,9396576
JOM250427-105,10,5,2025-04-27 08:40:00,2025-04-27 08:50:00,2025-04-27 06:40:00+00:00,2025-04-27 06:50:00+00:00,,,,,,,,-120,4499010,4897566,9396576
JOM250427-105,10,6,2025-04-27 08:50:00,2025-04-27 09:00:00,2025-04-27 06:50:00+00:00,2025-04-27 07:00:00+00:00,,,,,,,,-120,4499010,4897566,9396576
JOM250427-105,10,7,2025-04-27 09:00:00,2025-04-27 09:10:00,2025-04-27 07:00:00+00:00,2025-04-27 07:10:00+00:00,,,,,,,,-120,4499010,4897566,9396576
JOM250427-105,10,8,2025-04-27 09:10:00,2025-04-27 09:20:00,2025-04-27 07:10:00+00:00,2025-04-27 07:20:00+00:00,,,,,,,,-120,4499010,4897566,9396576
JOM250427-105,10,9,2025-04-27 09:20:00,2025-04-27 09:30:00,2025-04-27 07:20:00+00:00,2025-04-27 07:30:00+00:00,,,,,,,,-120,4499010,4897566,9396576
JOM250427-105,10,10,2025-04-27 09:30:00,2025-04-27 09:40:00,2025-04-27 07:30:00+00:00,2025-04-27 07:40:00+00:00,,,,,,,,-120,4499010,4897566,9396576
JOM250427-105,10,11,2025-04-27 09:40:00,2025-04-27 09:50:00,2025-04-27 07:40:00+00:00,2025-04-27 07:50:00+00:00,,,,,,,,-120,4499010,4897566,9396576
JOM250427-105,10,12,2025-04-27 09:50:00,2025-04-27 10:00:00,2025-04-27 07:50:00+00:00,2025-04-27 08:00:00+00:00,,,,,,,,-120,4499010,4897566,9396576
JOM250427-105,10,13,2025-04-27 10:00:00,2025-04-27 10:10:00,2025-04-27 08:00:00+00:00,2025-04-27 08:10:00+00:00,,,,,,,,-120,4499010,4897566,9396576
JOM250427-105,10,14,2025-04-27 10:10:00,2025-04-27 10:20:00,2025-04-27 08:10:00+00:00,2025-04-27 08:20:00+00:00,,,,,,,,-120,4499010,4897566,9396576
