Reference,priority,review_block,review_from_local,review_until_local,review_from_utc,review_until_utc,label_from_local,label_until_local,label_from_utc,label_until_utc,mov_type,label_quality,review_notes,offset_minutes,right_records,left_records,total_records
77370299R-115,2,1,2024-11-04 07:00:00,2024-11-04 07:10:00,2024-11-04 06:00:00+00:00,2024-11-04 06:10:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,2,2024-11-04 07:10:00,2024-11-04 07:20:00,2024-11-04 06:10:00+00:00,2024-11-04 06:20:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,3,2024-11-04 07:20:00,2024-11-04 07:30:00,2024-11-04 06:20:00+00:00,2024-11-04 06:30:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,4,2024-11-04 07:30:00,2024-11-04 07:40:00,2024-11-04 06:30:00+00:00,2024-11-04 06:40:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,5,2024-11-04 07:40:00,2024-11-04 07:50:00,2024-11-04 06:40:00+00:00,2024-11-04 06:50:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,6,2024-11-04 07:50:00,2024-11-04 08:00:00,2024-11-04 06:50:00+00:00,2024-11-04 07:00:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,7,2024-11-04 08:00:00,2024-11-04 08:10:00,2024-11-04 07:00:00+00:00,2024-11-04 07:10:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,8,2024-11-04 08:10:00,2024-11-04 08:20:00,2024-11-04 07:10:00+00:00,2024-11-04 07:20:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,9,2024-11-04 08:20:00,2024-11-04 08:30:00,2024-11-04 07:20:00+00:00,2024-11-04 07:30:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,10,2024-11-04 08:30:00,2024-11-04 08:40:00,2024-11-04 07:30:00+00:00,2024-11-04 07:40:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,11,2024-11-04 08:40:00,2024-11-04 08:50:00,2024-11-04 07:40:00+00:00,2024-11-04 07:50:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,12,2024-11-04 08:50:00,2024-11-04 09:00:00,2024-11-04 07:50:00+00:00,2024-11-04 08:00:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,13,2024-11-04 09:00:00,2024-11-04 09:10:00,2024-11-04 08:00:00+00:00,2024-11-04 08:10:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,14,2024-11-04 09:10:00,2024-11-04 09:20:00,2024-11-04 08:10:00+00:00,2024-11-04 08:20:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,15,2024-11-04 09:20:00,2024-11-04 09:30:00,2024-11-04 08:20:00+00:00,2024-11-04 08:30:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,16,2024-11-04 09:30:00,2024-11-04 09:40:00,2024-11-04 08:30:00+00:00,2024-11-04 08:40:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,17,2024-11-04 09:40:00,2024-11-04 09:50:00,2024-11-04 08:40:00+00:00,2024-11-04 08:50:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,18,2024-11-04 09:50:00,2024-11-04 10:00:00,2024-11-04 08:50:00+00:00,2024-11-04 09:00:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,19,2024-11-04 10:00:00,2024-11-04 10:10:00,2024-11-04 09:00:00+00:00,2024-11-04 09:10:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,20,2024-11-04 10:10:00,2024-11-04 10:20:00,2024-11-04 09:10:00+00:00,2024-11-04 09:20:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,21,2024-11-04 10:20:00,2024-11-04 10:30:00,2024-11-04 09:20:00+00:00,2024-11-04 09:30:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,22,2024-11-04 10:30:00,2024-11-04 10:40:00,2024-11-04 09:30:00+00:00,2024-11-04 09:40:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,23,2024-11-04 10:40:00,2024-11-04 10:50:00,2024-11-04 09:40:00+00:00,2024-11-04 09:50:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,24,2024-11-04 10:50:00,2024-11-04 11:00:00,2024-11-04 09:50:00+00:00,2024-11-04 10:00:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,25,2024-11-04 11:00:00,2024-11-04 11:10:00,2024-11-04 10:00:00+00:00,2024-11-04 10:10:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,26,2024-11-04 11:10:00,2024-11-04 11:20:00,2024-11-04 10:10:00+00:00,2024-11-04 10:20:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,27,2024-11-04 11:20:00,2024-11-04 11:30:00,2024-11-04 10:20:00+00:00,2024-11-04 10:30:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,28,2024-11-04 11:30:00,2024-11-04 11:40:00,2024-11-04 10:30:00+00:00,2024-11-04 10:40:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,29,2024-11-04 11:40:00,2024-11-04 11:50:00,2024-11-04 10:40:00+00:00,2024-11-04 10:50:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,30,2024-11-04 11:50:00,2024-11-04 12:00:00,2024-11-04 10:50:00+00:00,2024-11-04 11:00:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,31,2024-11-04 12:00:00,2024-11-04 12:10:00,2024-11-04 11:00:00+00:00,2024-11-04 11:10:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,32,2024-11-04 12:10:00,2024-11-04 12:20:00,2024-11-04 11:10:00+00:00,2024-11-04 11:20:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,33,2024-11-04 12:20:00,2024-11-04 12:30:00,2024-11-04 11:20:00+00:00,2024-11-04 11:30:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,34,2024-11-04 12:30:00,2024-11-04 12:40:00,2024-11-04 11:30:00+00:00,2024-11-04 11:40:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,35,2024-11-04 12:40:00,2024-11-04 12:50:00,2024-11-04 11:40:00+00:00,2024-11-04 11:50:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,36,2024-11-04 12:50:00,2024-11-04 13:00:00,2024-11-04 11:50:00+00:00,2024-11-04 12:00:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,37,2024-11-04 13:00:00,2024-11-04 13:10:00,2024-11-04 12:00:00+00:00,2024-11-04 12:10:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,38,2024-11-04 13:10:00,2024-11-04 13:20:00,2024-11-04 12:10:00+00:00,2024-11-04 12:20:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,39,2024-11-04 13:20:00,2024-11-04 13:30:00,2024-11-04 12:20:00+00:00,2024-11-04 12:30:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,40,2024-11-04 13:30:00,2024-11-04 13:40:00,2024-11-04 12:30:00+00:00,2024-11-04 12:40:00+00:00,,,,,,,,-60,12320892,12223146,24544038
