Reference,priority,review_block,review_from_local,review_until_local,review_from_utc,review_until_utc,label_from_local,label_until_local,label_from_utc,label_until_utc,mov_type,label_quality,review_notes,offset_minutes,right_records,left_records,total_records
AEMDHUG060-70,5,1,2026-04-28 12:00:00,2026-04-28 12:10:00,2026-04-28 10:00:00+00:00,2026-04-28 10:10:00+00:00,,,,,,,,-120,358464,360324,718788
AEMDHUG060-70,5,2,2026-04-28 12:10:00,2026-04-28 12:20:00,2026-04-28 10:10:00+00:00,2026-04-28 10:20:00+00:00,,,,,,,,-120,358464,360324,718788
AEMDHUG060-70,5,3,2026-04-28 12:20:00,2026-04-28 12:30:00,2026-04-28 10:20:00+00:00,2026-04-28 10:30:00+00:00,,,,,,,,-120,358464,360324,718788
AEMDHUG060-70,5,4,2026-04-28 12:30:00,2026-04-28 12:40:00,2026-04-28 10:30:00+00:00,2026-04-28 10:40:00+00:00,,,,,,,,-120,358464,360324,718788
AEMDHUG060-70,5,5,2026-04-28 12:40:00,2026-04-28 12:50:00,2026-04-28 10:40:00+00:00,2026-04-28 10:50:00+00:00,,,,,,,,-120,358464,360324,718788
AEMDHUG060-70,5,6,2026-04-28 12:50:00,2026-04-28 13:00:00,2026-04-28 10:50:00+00:00,2026-04-28 11:00:00+00:00,,,,,,,,-120,358464,360324,718788
AEMDHUG060-70,5,7,2026-04-28 13:00:00,2026-04-28 13:10:00,2026-04-28 11:00:00+00:00,2026-04-28 11:10:00+00:00,,,,,,,,-120,358464,360324,718788
AEMDHUG060-70,5,8,2026-04-28 13:10:00,2026-04-28 13:20:00,2026-04-28 11:10:00+00:00,2026-04-28 11:20:00+00:00,,,,,,,,-120,358464,360324,718788
AEMDHUG060-70,5,9,2026-04-28 13:20:00,2026-04-28 13:30:00,2026-04-28 11:20:00+00:00,2026-04-28 11:30:00+00:00,,,,,,,,-120,358464,360324,718788
AEMDHUG060-70,5,10,2026-04-28 13:30:00,2026-04-28 13:40:00,2026-04-28 11:30:00+00:00,2026-04-28 11:40:00+00:00,,,,,,,,-120,358464,360324,718788
AEMDHUG060-70,5,11,2026-04-28 13:40:00,2026-04-28 13:50:00,2026-04-28 11:40:00+00:00,2026-04-28 11:50:00+00:00,,,,,,,,-120,358464,360324,718788
AEMDHUG060-70,5,12,2026-04-28 13:50:00,2026-04-28 14:00:00,2026-04-28 11:50:00+00:00,2026-04-28 12:00:00+00:00,,,,,,,,-120,358464,360324,718788
